TimeStamp,srcIp,dstIp,srcPort,dstPort,result
2023-07-07 19:30:58.007111,2a03:2880:f244:1c3:face:b00c:0:167,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,36332,BENIGN
2023-07-07 19:30:58.007186,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2a03:2880:f244:1c3:face:b00c:0:167,36332,443,BENIGN
2023-07-07 19:30:58.878903,192.168.43.77,34.117.237.239,59084,443,BENIGN
2023-07-07 19:30:58.937364,34.117.237.239,192.168.43.77,443,59084,BENIGN
2023-07-07 19:30:59.128985,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:82b::200e,59062,443,BENIGN
2023-07-07 19:30:59.186461,2404:6800:4002:82b::200e,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,59062,BENIGN
2023-07-07 19:31:00.879959,192.168.43.77,34.117.65.55,43298,443,BENIGN
2023-07-07 19:31:00.930584,34.117.65.55,192.168.43.77,443,43298,BENIGN
2023-07-07 19:31:01.880501,192.168.43.77,34.149.100.209,36274,443,BENIGN
2023-07-07 19:31:01.969505,34.149.100.209,192.168.43.77,443,36274,BENIGN
2023-07-07 19:31:03.228834,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:813::200e,52590,443,BENIGN
2023-07-07 19:31:03.248807,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:821::2003,51326,443,BENIGN
2023-07-07 19:31:03.248853,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:807::2002,40756,443,BENIGN
2023-07-07 19:31:03.248874,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:813::200e,52582,443,BENIGN
2023-07-07 19:31:03.248902,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:805::200e,42326,443,BENIGN
2023-07-07 19:31:03.267156,2404:6800:4002:813::200e,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,52590,BENIGN
2023-07-07 19:31:03.280813,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:81f::200e,36658,443,BENIGN
2023-07-07 19:31:03.285761,2404:6800:4002:821::2003,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,51326,BENIGN
2023-07-07 19:31:03.293904,2404:6800:4002:807::2002,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,40756,BENIGN
2023-07-07 19:31:03.294132,2404:6800:4002:805::200e,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,42326,BENIGN
2023-07-07 19:31:03.302890,2404:6800:4002:813::200e,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,52582,BENIGN
2023-07-07 19:31:03.347221,2404:6800:4002:81f::200e,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,36658,BENIGN
2023-07-07 19:31:05.881464,192.168.43.77,216.24.57.253,47916,443,BENIGN
2023-07-07 19:31:05.943015,216.24.57.253,192.168.43.77,443,47916,BENIGN
2023-07-07 19:31:06.634348,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,40978,53,BENIGN
2023-07-07 19:31:06.639317,192.168.43.77,216.24.57.253,47920,443,BENIGN
2023-07-07 19:31:06.645638,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,40978,BENIGN
2023-07-07 19:31:06.737463,216.24.57.253,192.168.43.77,443,47920,BENIGN
2023-07-07 19:31:18.882234,192.168.43.77,34.120.115.102,33304,443,BENIGN
2023-07-07 19:31:19.204058,34.120.115.102,192.168.43.77,443,33304,BENIGN
2023-07-07 19:31:21.353905,117.18.232.200,192.168.43.77,443,58916,BENIGN
2023-07-07 19:31:21.354304,192.168.43.77,117.18.232.200,58916,443,BENIGN
2023-07-07 19:31:22.883153,192.168.43.77,34.120.208.123,58868,443,BENIGN
2023-07-07 19:31:22.944844,34.120.208.123,192.168.43.77,443,58868,BENIGN
2023-07-07 19:31:24.472996,192.168.43.77,3.208.133.249,47778,443,BENIGN
2023-07-07 19:31:24.835598,3.208.133.249,192.168.43.77,443,47778,BENIGN
2023-07-07 19:31:27.702419,fe80::dc63:a5ff:fe47:d890,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,47778,BENIGN
2023-07-07 19:31:27.702513,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,fe80::dc63:a5ff:fe47:d890,443,47778,BENIGN
2023-07-07 19:31:31.900850,192.168.43.77,13.67.9.5,58850,443,BENIGN
2023-07-07 19:31:31.900905,192.168.43.77,13.67.9.5,58846,443,BENIGN
2023-07-07 19:31:32.104572,13.67.9.5,192.168.43.77,443,58850,BENIGN
2023-07-07 19:31:32.104572,13.67.9.5,192.168.43.77,443,58846,BENIGN
2023-07-07 19:31:32.367738,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2600:9000:20e1:9600:12:bd7a:5b00:93a1,38366,443,BENIGN
2023-07-07 19:31:32.369408,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2001:4860:4860::8888,32910,443,BENIGN
2023-07-07 19:31:32.455513,2001:4860:4860::8888,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,32910,BENIGN
2023-07-07 19:31:32.509317,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2600:9000:2024:4200:12:bd7a:5b00:93a1,48530,443,BENIGN
2023-07-07 19:31:32.622021,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2600:9000:2024:4200:12:bd7a:5b00:93a1,48544,443,BENIGN
2023-07-07 19:31:32.698017,2600:9000:2024:4200:12:bd7a:5b00:93a1,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,48530,BENIGN
2023-07-07 19:31:32.924031,2600:9000:2024:4200:12:bd7a:5b00:93a1,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,48544,BENIGN
2023-07-07 19:31:35.884042,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2600:1901:0:e988::,54096,443,BENIGN
2023-07-07 19:31:35.961886,2600:1901:0:e988::,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,443,54096,BENIGN
2023-07-07 19:31:43.786270,192.168.43.77,8.8.8.8,35759,53,BENIGN
2023-07-07 19:31:43.835271,8.8.8.8,192.168.43.77,53,35759,BENIGN
2023-07-07 19:31:43.850200,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2404:6800:4002:81c::200e,60902,80,BENIGN
2023-07-07 19:31:43.898288,2404:6800:4002:81c::200e,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,80,60902,BENIGN
2023-07-07 19:31:53.505440,fe80::dc63:a5ff:fe47:d890,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,59084,443,BENIGN
2023-07-07 19:31:53.505532,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,fe80::dc63:a5ff:fe47:d890,59084,443,BENIGN
2023-07-07 19:31:57.635903,192.168.43.77,8.8.8.8,52195,53,BENIGN
2023-07-07 19:31:57.636255,192.168.43.77,8.8.8.8,50094,53,BENIGN
2023-07-07 19:31:57.637004,192.168.43.77,8.8.8.8,51566,53,BENIGN
2023-07-07 19:31:57.637228,192.168.43.77,8.8.8.8,45441,53,BENIGN
2023-07-07 19:31:57.637483,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,40767,53,BENIGN
2023-07-07 19:31:57.637659,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,44591,53,BENIGN
2023-07-07 19:31:57.638883,192.168.43.77,8.8.8.8,49862,53,BENIGN
2023-07-07 19:31:57.638914,192.168.43.77,40.81.94.43,55936,443,BENIGN
2023-07-07 19:31:57.644830,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,40767,BENIGN
2023-07-07 19:31:57.688835,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,44591,BENIGN
2023-07-07 19:31:57.689957,8.8.8.8,192.168.43.77,53,50094,BENIGN
2023-07-07 19:31:57.691109,8.8.8.8,192.168.43.77,53,51566,BENIGN
2023-07-07 19:31:57.691149,8.8.8.8,192.168.43.77,53,52195,BENIGN
2023-07-07 19:31:57.692482,8.8.8.8,192.168.43.77,53,49862,BENIGN
2023-07-07 19:31:57.693434,8.8.8.8,192.168.43.77,53,45441,BENIGN
2023-07-07 19:31:57.702406,40.81.94.43,192.168.43.77,443,55936,BENIGN
2023-07-07 19:31:57.844094,192.168.43.77,40.81.94.43,55948,443,BENIGN
2023-07-07 19:31:57.897993,40.81.94.43,192.168.43.77,443,55948,BENIGN
2023-07-07 19:31:57.930614,192.168.43.77,40.81.94.43,55950,443,BENIGN
2023-07-07 19:31:57.997695,40.81.94.43,192.168.43.77,443,55950,BENIGN
2023-07-07 19:31:58.135441,192.168.43.77,40.81.94.43,55952,443,BENIGN
2023-07-07 19:31:58.195819,40.81.94.43,192.168.43.77,443,55952,BENIGN
2023-07-07 19:31:59.933226,192.168.43.77,8.8.8.8,47707,53,BENIGN
2023-07-07 19:31:59.933489,192.168.43.77,8.8.8.8,38792,53,BENIGN
2023-07-07 19:31:59.933747,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,58240,53,BENIGN
2023-07-07 19:31:59.940612,2401:4900:598e:e314::a0,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,53,58240,BENIGN
2023-07-07 19:31:59.961800,192.168.43.77,8.8.8.8,53942,53,BENIGN
2023-07-07 19:31:59.962081,192.168.43.77,8.8.8.8,37423,53,BENIGN
2023-07-07 19:31:59.962310,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,37536,53,BENIGN
2023-07-07 19:31:59.962507,2401:4900:598e:e314:e246:dceb:3cfb:fbd9,2401:4900:598e:e314::a0,32965,53,BENIGN
